userId,movieId,rating,timestamp
1,1,4.0,2000-07-30 18:45:03
1,70,3.0,2000-07-30 18:40:00
1,163,5.0,2000-07-30 19:00:50
1,260,5.0,2000-07-30 18:28:00
1,356,4.0,2000-07-30 18:16:02
1,457,5.0,2000-07-30 18:31:49
1,552,4.0,2000-07-30 18:44:13
1,596,5.0,2000-07-30 18:47:18
1,733,4.0,2000-07-30 18:40:00
1,923,5.0,2000-07-30 18:25:29
1,1023,5.0,2000-07-30 18:44:41
1,1031,5.0,2000-07-30 18:44:13
1,1073,5.0,2000-07-30 18:28:00
1,1097,5.0,2000-07-30 18:28:00
1,1198,5.0,2000-07-30 18:30:27
1,1214,4.0,2000-07-30 18:30:55
1,1226,5.0,2000-07-30 19:00:18
1,1270,5.0,2000-07-30 19:01:45
1,1298,5.0,2000-07-30 19:08:06
1,1445,3.0,2000-07-30 19:08:32
1,1573,5.0,2000-07-30 18:38:10
1,1625,5.0,2000-07-30 18:58:24
1,1793,4.0,2000-07-30 18:23:24
1,1954,5.0,2000-07-30 18:36:16
1,2018,5.0,2000-07-30 18:08:43
1,2054,4.0,2000-07-30 18:29:07
1,2094,5.0,2000-07-30 18:44:13
1,2116,5.0,2000-07-30 18:47:56
1,2161,5.0,2000-07-30 18:28:30
1,2273,4.0,2000-07-30 18:38:30
1,2366,4.0,2000-07-30 18:41:02
1,2414,3.0,2000-07-30 18:41:53
1,2478,4.0,2000-07-30 19:09:29
1,2542,5.0,2000-07-30 18:21:05
1,2617,2.0,2000-07-30 18:43:08
1,2648,4.0,2000-07-30 18:56:54
1,2716,5.0,2000-07-30 18:56:54
1,2872,5.0,2000-07-30 18:28:00
1,2948,5.0,2000-07-30 18:36:31
1,2991,5.0,2000-07-30 18:37:51
1,3052,5.0,2000-07-30 18:20:08
1,3176,1.0,2000-07-30 18:58:24
1,3386,5.0,2000-07-30 18:58:04
1,3450,5.0,2000-07-30 18:19:04
1,3617,4.0,2000-07-30 18:11:23
1,3729,5.0,2000-07-30 18:39:23
1,4006,4.0,2000-07-30 18:48:23
2,3578,4.0,2015-10-24 19:28:05
2,58559,4.5,2015-10-24 19:32:21
2,77455,3.0,2015-10-24 19:29:01
2,89774,5.0,2015-10-24 19:33:09
2,109487,3.0,2015-10-24 19:32:25
2,131724,5.0,2015-10-24 19:27:31
3,720,0.5,2011-05-27 02:33:15
3,1263,0.5,2011-05-27 02:32:49
3,1587,4.5,2011-05-27 02:40:03
3,2288,4.0,2011-05-27 02:33:51
3,3703,5.0,2011-05-27 02:33:23
3,5746,5.0,2011-05-27 02:35:08
3,7899,4.5,2011-05-27 02:40:36
4,21,3.0,2001-04-10 20:39:59
4,58,3.0,2000-07-25 15:20:44
4,171,3.0,1999-12-13 09:47:08
4,232,5.0,2000-07-26 14:44:44
4,296,1.0,1999-12-14 12:09:10
4,351,3.0,2001-04-10 20:35:01
4,450,2.0,2001-04-09 20:40:28
4,538,5.0,1999-12-13 09:50:36
4,595,3.0,2001-04-09 20:36:49
4,759,3.0,1999-12-13 09:50:01
4,902,4.0,1999-12-13 09:47:26
4,914,5.0,1999-12-13 10:07:50
4,1025,4.0,1999-12-13 10:00:32
4,1077,5.0,1999-12-14 12:14:52
4,1094,3.0,2000-07-25 15:21:40
4,1188,5.0,2000-07-25 15:21:40
4,1203,5.0,1999-12-14 12:20:25
4,1250,5.0,1999-12-14 12:20:08
4,1282,5.0,1999-12-13 10:07:33
4,1391,1.0,1999-12-14 12:16:06
4,1580,3.0,2001-04-10 20:40:44
4,1719,4.0,1999-12-13 10:12:36
4,1860,2.0,2001-04-09 20:43:21
4,1907,3.0,2000-07-25 15:55:05
4,1966,2.0,2000-07-26 14:44:44
4,2078,5.0,1999-12-13 10:05:21
4,2186,5.0,1999-12-14 12:20:08
4,2336,2.0,2000-07-25 15:29:24
4,2406,4.0,2001-04-10 20:41:42
4,2628,1.0,2001-04-09 20:41:34
4,2763,1.0,2000-07-28 10:03:41
4,2874,4.0,2001-04-10 20:36:56
4,2997,4.0,2001-04-09 20:36:50
4,3083,5.0,2000-07-26 14:41:27
4,3255,4.0,2000-07-26 14:55:06
4,3408,4.0,2001-04-09 20:47:18
4,3591,1.0,2001-04-10 20:39:59
4,3911,3.0,2001-04-09 20:45:49
4,4020,3.0,2001-04-09 20:40:56
4,4034,5.0,2001-04-09 20:39:13
4,4226,2.0,2001-12-05 16:23:44
4,4273,4.0,2001-12-05 17:47:50
4,4741,3.0,2001-12-05 17:48:52
4,4967,5.0,2001-12-05 16:23:44
5,39,3.0,1996-11-08 06:36:01
5,153,3.0,1996-11-08 06:33:22
5,265,3.0,1996-11-08 06:38:49
5,316,2.0,1996-11-08 06:33:52
5,364,3.0,1996-11-08 06:34:42
5,474,4.0,1996-11-08 06:42:17
5,534,3.0,1996-11-08 06:41:51
5,594,5.0,1996-11-08 06:40:38
6,2,4.0,1996-10-17 11:58:42
6,7,4.0,1996-10-17 12:11:04
6,15,4.0,1996-10-17 12:15:05
6,22,5.0,1996-10-17 12:04:35
6,31,3.0,1996-10-17 12:03:39
6,43,4.0,1996-10-17 12:33:27
6,54,4.0,1996-10-17 12:30:02
6,66,3.0,1996-10-17 12:25:51
6,88,2.0,1996-10-17 12:34:54
6,100,3.0,1996-10-17 12:25:51
6,112,4.0,1996-10-17 12:06:34
6,141,4.0,1996-10-17 11:59:46
6,153,3.0,1996-10-17 11:52:26
6,163,3.0,1996-10-17 12:05:07
6,174,3.0,1996-10-17 12:14:39
6,185,3.0,1996-10-17 11:54:43
6,196,3.0,1996-10-17 11:59:46
6,208,3.0,1996-10-17 11:54:13
6,217,3.0,1996-10-17 12:29:42
6,225,4.0,1996-10-17 11:56:21
6,237,4.0,1996-10-17 12:04:35
6,250,4.0,1996-10-17 12:33:08
6,256,3.0,1996-10-17 12:02:06
6,265,3.0,1996-10-17 12:02:06
6,273,3.0,1996-10-17 12:04:35
6,281,4.0,1996-10-17 12:12:00
6,292,4.0,1996-10-17 11:54:13
6,304,4.0,1996-10-17 12:32:26
6,315,4.0,1996-10-17 11:58:42
6,329,4.0,1996-10-17 11:53:20
6,337,5.0,1996-10-17 11:59:46
6,344,3.0,1996-10-17 11:52:26
6,351,4.0,1996-10-17 12:14:15
6,356,5.0,1996-10-17 11:53:20
6,361,4.0,1996-10-17 12:12:56
6,368,5.0,1996-10-17 12:02:06
6,378,3.0,1996-10-17 12:23:07
6,405,3.0,1996-10-17 12:16:43
6,419,3.0,1996-10-17 12:10:24
6,437,3.0,1996-10-17 12:15:05
6,455,3.0,1996-10-17 12:07:42
6,468,4.0,1996-10-17 12:05:07
6,477,4.0,1996-10-17 12:09:01
6,491,4.0,1996-10-17 12:09:01
6,502,3.0,1996-10-17 12:14:15
6,515,4.0,1996-10-17 12:03:14
6,531,3.0,1996-10-17 12:11:36
6,540,3.0,1996-10-17 12:08:19
6,552,3.0,1996-10-17 12:04:35
6,588,5.0,1996-10-17 11:52:26
6,594,4.0,1996-10-17 12:03:39
6,608,3.0,1996-10-17 12:04:04
6,637,4.0,1996-10-17 12:24:06
6,694,3.0,1996-10-17 12:34:54
6,709,5.0,1996-10-17 12:27:29
6,747,3.0,1996-10-17 12:24:06
6,783,5.0,1996-10-17 12:16:24
6,818,3.0,1996-10-17 12:31:54
6,839,3.0,1996-10-17 12:42:00
6,880,3.0,1996-10-17 12:43:01
6,981,3.0,1996-10-17 12:49:27
6,1004,4.0,1996-10-17 12:48:26
6,1064,4.0,1996-10-17 12:49:39
7,50,4.5,2005-01-25 06:53:13
7,356,5.0,2005-01-25 06:51:55
7,588,3.0,2005-01-25 06:52:51
7,648,4.0,2005-01-25 06:53:01
7,1101,4.0,2005-01-25 06:45:02
